Key,Français,Breton,English,German,Portuguese,Italian,Spanish
NARRATEUR_ACT_1_DIALOGUE_RIAGAD_MILLIE_1,([EWEN_NAME] ne bouge pas),([EWEN_NAME] ne fiñv ket),([EWEN_NAME] does not move),([EWEN_NAME] bewegt sich nicht),([EWEN_NAME] não se move),([EWEN_NAME] non si muove),([EWEN_NAME] no se mueve)
NARRATEUR_ACT_1_DIALOGUE_RIAGAD_MILLIE_2,([RIAGAD_NAME]  s’impatiente),([RIAGAD_NAME] a zeu da vezañ dic'hoant),([RIAGAD_NAME] gets impatient),([RIAGAD_NAME] wird ungeduldig),([RIAGAD_NAME] fica impaciente),([RIAGAD_NAME] diventa impaziente),([RIAGAD_NAME] se impacienta)
NARRATEUR_ACT_1_DIALOGUE_RIAGAD_MILLIE_3,([RIAGAD_NAME] met sa main sur son épée),([RIAGAD_NAME] a laka e zorn war e gleze),([RIAGAD_NAME] puts his hand on his sword),([RIAGAD_NAME] legt seine Hand auf sein Schwert),([RIAGAD_NAME] coloca a mão na espada),([RIAGAD_NAME] mette la mano sulla spada),([RIAGAD_NAME] pone su mano sobre su espada)
NARRATEUR_ACT_1_DIALOGUE_RIAGAD_MILLIE_4,([MILLIE_NAME] fait signe à [EWEN_NAME] qu’il peut entrer),([MILLIE_NAME] a ro sin da [EWEN_NAME] e c'hall mont e-barzh),([MILLIE_NAME] signals to [EWEN_NAME] that he can enter),([MILLIE_NAME] signalisiert [EWEN_NAME][V] dass er eintreten kann),([MILLIE_NAME] sinaliza para [EWEN_NAME] que ele pode entrar),([MILLIE_NAME] segnala a [EWEN_NAME] che può entrare),([MILLIE_NAME] le indica a [EWEN_NAME] que puede ingresar)
NARRATEUR_ACT_1_DIALOGUE_RIAGAD_MILLIE_5,([MILLIE_NAME] souri à [RIAGAD_NAME]),([MILLIE_NAME] a c'hoarzhas ouzh [RIAGAD_NAME]),([MILLIE_NAME] smiled at [RIAGAD_NAME]),([MILLIE_NAME] lächelte [RIAGAD_NAME] an),([MILLIE_NAME] sorriu para [RIAGAD_NAME]),([MILLIE_NAME] ha sorriso a [RIAGAD_NAME]),([MILLIE_NAME] le sonrió a [RIAGAD_NAME])
NARRATEUR_ACT_1_DIALOGUE_ROZENN_1,([ROZENN_NAME] vous offre une rose[V] un grand sourire aux lèvres),([ROZENN_NAME] a ginnig deoc'h ur rozenn[V] ur mousc'hoarzh bras war he dremm),([ROZENN_NAME] gives you a rose[V] a big smile on your face),([ROZENN_NAME] schenkt dir eine Rose[V] ein breites Lächeln auf deinem Gesicht),([ROZENN_NAME] lhe dá uma rosa[V] com um grande sorriso no rosto),([ROZENN_NAME] ti regala una rosa[V] un grande sorriso sul tuo viso),([ROZENN_NAME] te regala una rosa[V] una gran sonrisa en tu cara)
NARRATEUR_ACT_1_DIALOGUE_VASAT_1,(Vous ne devriez peut-être pas le déranger dans son travail),(Marteze ne zlefec'h ket e zistreiñ diouzh e labour),(Maybe you shouldn't disturb him from his work),(Vielleicht solltest du ihn nicht bei seiner Arbeit stören),(Talvez você não devesse incomodá-lo em seu trabalho),(Forse non dovresti disturbarlo dal suo lavoro),(Tal vez no deberías molestarlo en su trabajo)
NARRATEUR_ACT_1_DIALOGUE_VASAT_2,(Il semble dans ses pensées et ne pas vous prêter attention),(Seblantout a ra bezañ o prederiañ ha ne ra ket evezh ouzhoc'h),(He seems in thought and not paying attention to you),(Er scheint in Gedanken zu sein und dir keine Aufmerksamkeit zu schenken),(Ele parece estar pensando e não prestando atenção em você),(Sembra pensieroso e non ti presta attenzione),(Parece estar pensando y no prestarte atención)
NARRATEUR_ACT_1_DIALOGUE_NEVENA_1,([NEVENA_NAME] semble captiver par ce qu'elle voit dans sa lunette),([NEVENA_NAME] a seblant bezañ bamet gant ar pezh a wel en he skouer),([NEVENA_NAME] seems captivated by what she sees through her telescope),([NEVENA_NAME] scheint fasziniert von dem[V] was sie durch ihr Teleskop sieht),([NEVENA_NAME] parece cativada pelo que vê através de seu telescópio),([NEVENA_NAME] sembra affascinata da ciò che vede attraverso il suo telescopio),([NEVENA_NAME] parece cautivada por lo que ve a través de su telescopio)
NARRATEUR_ACT_1_DIALOGUE_DRUSTAN_1,([DRUSTAN_NAME] a l'air concentré dans ce qu'il fait),([DRUSTAN_NAME] a seblant bezañ evezhiek ouzh ar pezh a ra),([DRUSTAN_NAME] looks focused in what he is doing),([DRUSTAN_NAME] scheint bei dem[V] was er tut[V] konzentriert zu sein),([DRUSTAN_NAME] parece focado no que está fazendo),([DRUSTAN_NAME] sembra concentrato in quello che sta facendo),([DRUSTAN_NAME] parece concentrado en lo que está haciendo)
NARRATEUR_ACT_1_DIALOGUE_SCHUCHTERNE_1,(Elle ne semble pas vous prêter attention) ,(War a seblant ne ra ket evezh ouzhit),(She doesn't seem to be paying attention to you) ,(Sie scheint dir keine Aufmerksamkeit zu schenken) ,(Ela não parece estar prestando atenção em você) ,(Sembra che non ti presti attenzione) ,(Ella no parece estar prestándote atención) 
NARRATEUR_ACT_1_DIALOGUE_AZEL_DENEZ_1,(Vous voyez un homme mal en point[V] accroché au bord du puits.),(Gwelet a rez eun den fall e stad[V] krog war ribl ar puñs).,(You see a man in bad shape [V] hanging on the edge of the well.),(Sie sehen einen Mann in schlechter Verfassung [V][V] der am Rand des Brunnens hängt.),(Você vê um homem em péssimo estado [V] pendurado na beira do poço.),(Si vede un uomo in cattive condizioni [V] appeso al bordo del pozzo.),(Se ve a un hombre en mal estado [V] colgado al borde del pozo.)
NARRATEUR_ACT_1_DIALOGUE_AZEL_DENEZ_2,Il semblerait que Denez ne soit pas très attentif,War a seblant n'eo ket gwall aketus Denez,It seems that Denez is not very attentive,Es scheint[V] dass Denez nicht sehr aufmerksam ist,Parece que Denez não está muito atento,Sembra che Denez non sia molto attento,Parece que Denez no está muy atento.
EWEN_NAME,Ewen,Ewen,Ewen,Ewen,Ewen,Ewen,ewen
EWEN_DIALOGUE_0_1,...,...,...,...,...,...,...
EWEN_DIALOGUE_0_2,!,!,!,!,!,!,!
EWEN_DIALOGUE_0_3,Ah...,Ah...,Oh...,Oh...,Oh...,OH...,Oh...
EWEN_ACT_1_DIALOGUE_OMBRE_1,Pourquoi me parler de tout ça ?,Perak kontañ din eus kement-se ?,Why tell me about all this?,Warum erzählst du mir das alles?,Por que me contar sobre tudo isso?,Perché raccontarmi tutto questo?,¿Por qué contarme todo esto?
EWEN_ACT_1_DIALOGUE_GARDIENNE_1,...Comment ça ?,... Penaos ?,...How so ?,...Wie so ?,...Como assim?,...Come mai ?,...Cómo es eso ?
OMBRE_NAME,[#3d3243]L'Ombre Reflet[/#],[#3d3243]Ar Skeudenn Skeud[/#],[#3d3243]The Shadow Reflection[/#],[#3d3243]Die Schattenreflexion[/#],[#3d3243]O reflexo da sombra[/#],[#3d3243]Il riflesso dell'ombra[/#],[#3d3243]El reflejo de la sombra[/#]
OMBRE_ACT_1_DIALOGUE_1_1,Hey ! Oui toi[V] approche.,Salud! Ya c'hwi[V] tostait.,Hey! Yes you[V] approach.,Hey! Ja[V] Sie nähern sich.,Ei! Sim[V] você [V] se aproxima.,EHI! Sì[V] tu [V] ti avvicini.,¡Ey! Sí[V] te acercas.
OMBRE_ACT_1_DIALOGUE_1_2,Tu dois être bien perdu dis-moi ?,Ret eo deoc'h bezañ gwall gollet[V] lavarit din ?,You must be very lost[V] tell me?,Du musst sehr verloren sein[V] sag es mir?,Você deve estar muito perdido[V] me conta?,Devi essere molto perso[V] dimmi?,Debes estar muy perdido[V] ¿dime?
OMBRE_ACT_1_CHOICE_1_1,Oui,Ya,Yes,Ja,Sim,SÌ,Sí
OMBRE_ACT_1_CHOICE_1_2,...,...,...,...,...,...,...
OMBRE_ACT_1_DIALOGUE_1_3,Laisse moi t'aider à éclaircir tes doutes.,Lakait ac'hanon da sikour ac'hanoc'h da ziverkañ ho douetañsoù.,Let me help you clear your doubts.,Ich helfe Ihnen[V] Ihre Zweifel auszuräumen.,Deixe-me ajudá-lo a tirar suas dúvidas.,Lascia che ti aiuti a chiarire i tuoi dubbi.,Déjame ayudarte a aclarar tus dudas.
OMBRE_ACT_1_DIALOGUE_1_4,Tu n'as pas de raison de rester silencieux devant moi[V] je suis là pour t'aider.,N'hoc'h eus abeg ebet da chom mut dirazon[V] emaon amañ evit ho sikour.,You have no reason to remain silent in front of me[V] I am here to help you.,Du hast keinen Grund[V] vor mir zu schweigen.[V] Ich bin hier[V] um dir zu helfen.,Você não tem motivo para ficar calado na minha frente[V] Estou aqui para ajudá-lo.,Non hai motivo di rimanere in silenzio davanti a me[V] Sono qui per aiutarti.,No tienes por qué quedarte callado frente a mí[V] Estoy aquí para ayudarte.
OMBRE_ACT_1_DIALOGUE_1_5,Vois-tu[V] je te connais. Très bien même[V] ou plutôt je te connaissais.,Gwelet a rez[V] anavezout a ran ac'hanout. Mat-tre e gwirionez[V] pe kentoc'h e anavezen ac'hanoc'h.,You see[V] I know you. Very good even[V] or rather I knew you.,Du siehst[V] Ich kenne dich. Sehr gut sogar[V] oder besser gesagt[V] ich kannte dich.,Você vê [V] eu conheço você. Muito bom mesmo[V] ou melhor[V] eu te conheci.,Vedi[V] Ti conosco. Molto bene anche[V] o meglio ti conoscevo.,Verás[V] Te conozco. Muy bien incluso[V] o mejor dicho te conocía.
OMBRE_ACT_1_DIALOGUE_1_6,Je sais ce qu'il t'ai arrivé. Et c'est pour cela que je vais t'aider.,Gouzout a ran petra zo c'hoarvezet ganit. Ha setu perak emaon o vont da sikour ac'hanoc'h.,I know what happened to you. And that's why I'm going to help you.,Ich weiß[V] was mit dir passiert ist. Und deshalb werde ich Ihnen helfen.,Eu sei o que aconteceu com você. E é por isso que vou te ajudar.,So cosa ti è successo. Ed è per questo che ti aiuterò.,Sé lo que te pasó. Y por eso te voy a ayudar.
OMBRE_ACT_1_DIALOGUE_1_7,Le passé est un fardeau que tous le monde ne devrait pas avoir à porter. Le tiens particulièrement.,Ur bec'h eo an amzer dremenet ha n'eo ket ret d'an holl dougen. Ho hini dreist-holl.,The past is a burden that not everyone should have to carry. Especially yours.,Die Vergangenheit ist eine Last[V] die nicht jeder tragen sollte. Besonders deine.,O passado é um fardo que nem todos deveriam carregar. Especialmente o seu.,Il passato è un peso che non tutti dovrebbero portare. Soprattutto il tuo.,El pasado es una carga que no todo el mundo debería cargar. Especialmente el tuyo.
OMBRE_ACT_1_DIALOGUE_1_8,Je ne peux malheureusement pas te raconter ton passé[V] cela[V] car je tiens à toi.,Siwazh[V] ne c'hellan ket kontañ deoc'h eus ho amzer dremenet rak prederiañ a ran ac'hanoc'h.,Unfortunately[V] I can't tell you about your past[V] because I care about you.,Leider kann ich dir nichts über deine Vergangenheit erzählen[V][V] weil du mir wichtig bist.,Infelizmente[V] não posso contar sobre seu passado[V] porque me importo com você.,Sfortunatamente non posso parlarti del tuo passato[V] perché ci tengo a te.,Desafortunadamente[V] no puedo contarte sobre tu pasado[V] porque me preocupo por ti.
OMBRE_ACT_1_DIALOGUE_1_9,Toute connaissance a un prix[V] plus intime est le savoir[V] plus grand est le sacrifice,Pep gouiziegezh en deus ur priz[V] seul vuioc'h a anaoudegezh[V] seul vrasoc'h eo an aberzh,All knowledge has a price[V] The deeper the knowledge[V] The greater the sacrifice,Alles Wissen hat seinen Preis[V] Je tiefer das Wissen ist[V] Je größer das Opfer,Todo conhecimento tem um preço[V] Quanto mais profundo o conhecimento[V] Quanto maior o sacrifício,Tutta la conoscenza ha un prezzo[V] Più profonda è la conoscenza[V] Maggiore è il sacrificio,Todo conocimiento tiene un precio[V] Cuanto más profundo es el conocimiento[V] Mayor es el sacrificio
OMBRE_ACT_1_DIALOGUE_1_10,Tu comprendras bien assez vite. Mais il semblerai que tu ne me fasse pas encore confiance.,Kompren a ri buan a-walc'h. Met war a seblant n'hoc'h eus ket fiziañs ennon c'hoazh.,You'll understand soon enough. But it seems that you don't trust me yet.,Du wirst es schon bald verstehen. Aber es scheint[V] dass du mir noch nicht vertraust.,Você entenderá em breve. Mas parece que você ainda não confia em mim.,Lo capirai presto. Ma sembra che tu non ti fidi ancora di me.,Lo entenderás muy pronto. Pero parece que todavía no confías en mí.
OMBRE_ACT_1_DIALOGUE_1_11,Pour ne pas te laisser complètement dans l'obscurité[V] je te laisse me poser quelques questions.,Evit chom hep ho lezel en deñvalijenn penn-da-benn e lezin ac'hanoc'h d'ober un nebeud goulennoù din.,So as not to leave you completely in the dark[V] I'll let you ask me a few questions.,Um Sie nicht völlig im Dunkeln zu lassen[V][V] lasse ich Sie mir ein paar Fragen stellen.,Para não deixar você completamente no escuro[V][V] vou deixar você me fazer algumas perguntas.,Per non lasciarvi completamente all'oscuro[V] mi lascio fare qualche domanda.,Para no dejarte completamente a oscuras[V] Te dejaré que me hagas algunas preguntas.
OMBRE_ACT_1_CHOICE_2_1,Qui es-tu ?,Piv oc'h-c'hwi?,Who are you?,Wer bist du?,Quem é você?,Chi sei?,¿Quién eres?
OMBRE_ACT_1_CHOICE_2_2,Qui suis-je ?,Piv on-me ?,Who am I?,Wer bin ich?,Quem sou eu?,Chi sono io?,¿Quién soy yo?
OMBRE_ACT_1_CHOICE_2_3,(partir),(mont kuit),(leave),(verlassen),(deixar),(Partire),(dejar)
OMBRE_ACT_1_DIALOGUE_1_12,E​st-ce vraiment ce que tu veux savoir ? Ca n'a pas d'importance.,Ha setu ar pezh a fell deoc'h gouzout ? N'eo ket a bouez.,Is this really what you want to know? It doesn’t matter.,Ist das wirklich das[V] was Sie wissen wollen? Es spielt keine Rolle.,É realmente isso que você quer saber? Isso não importa.,È davvero questo quello che vuoi sapere? Non importa.,¿Es esto realmente lo que quieres saber? No importa.
OMBRE_ACT_1_DIALOGUE_1_13,J​e suis la pour t'aider et rien d'autre alors tu peux me voir comme un guide pu un tuteur.,Emaon amañ evit sikour ac'hanoc'h ha netra all evit ma c'hellit va gwelet evel ur c'helenner pe ur c'helenner.,I am here to help you and nothing else so you can see me as a guide or a tutor.,Ich bin hier[V] um Ihnen zu helfen und nichts anderes[V] damit Sie mich als Führer oder Tutor sehen können.,Estou aqui para ajudá-lo e nada mais[V] para que você possa me ver como um guia ou tutor.,Sono qui per aiutarti e nient'altro in modo che tu possa vedermi come una guida o un tutor.,Estoy aquí para ayudarte y nada más para que puedas verme como una guía o un tutor.
OMBRE_ACT_1_DIALOGUE_1_14,A​ctuellement tu n'es personne. C'est toi qui doit choisir qui tu veux être.,Evit ar mare n'oc'h den ebet. Ret eo deoc'h dibab piv a fell deoc'h bezañ.,Currently you are nobody. You have to choose who you want to be.,Derzeit bist du niemand. Du musst entscheiden[V] wer du sein willst.,Atualmente você não é ninguém. Você tem que escolher quem você quer ser.,Al momento non sei nessuno. Devi scegliere chi vuoi essere.,Actualmente no eres nadie. Tienes que elegir quién quieres ser.
OMBRE_ACT_1_DIALOGUE_1_15,T​u as eu la chance de pouvoir oublier et tout reprendre à zéro[V] ne gâche pas cette chance à ressasser le passé.,Chañsus a-walc'h oc'h bet da c'hellout ankounac'haat ha kregiñ adalek netra[V] arabat koll ar chañs-se o chom en amzer dremenet.,You were lucky enough to be able to forget and start from scratch[V] don't waste this chance by dwelling on the past.,Du hattest das Glück[V] es vergessen zu können und von vorne anzufangen. Verpasse diese Chance nicht[V] indem du in der Vergangenheit nachdenkst.,Você teve a sorte de poder esquecer e começar do zero[V] não desperdice essa chance remoendo o passado.,Hai avuto la fortuna di poter dimenticare e ricominciare da zero[V] non sprecare questa occasione rimuginando sul passato.,Tuviste la suerte de poder olvidar y empezar de cero[V] No desperdicies esta oportunidad pensando en el pasado.
OMBRE_ACT_1_DIALOGUE_1_16,Je vois que notre conversation arrive à un terme.,Gwelout a ran emañ hor c'haozeadenn o vont da echuiñ.,I see our conversation is coming to an end.,Ich sehe[V] dass unser Gespräch zu Ende geht.,Vejo que nossa conversa está chegando ao fim.,Vedo che la nostra conversazione sta volgendo al termine.,Veo que nuestra conversación está llegando a su fin.
OMBRE_ACT_1_DIALOGUE_1_17,On se reverra bientôt[V] mais d'ici là n'oublie pas ce que je t'ai dit.,En em welet a raimp adarre a-benn nebeut[V] met betek neuze n’ankounac’hait ket ar pezh am eus lavaret deoc’h.,We'll see each other again soon[V] but until then don't forget what I told you.,Wir werden uns bald wiedersehen[V] aber bis dahin vergiss nicht[V] was ich dir gesagt habe.,Nos veremos novamente em breve[V][V] mas até lá não se esqueça do que eu te contei.,Ci rivedremo presto[V] ma fino ad allora non dimenticare quello che ti ho detto.,Nos volveremos a ver pronto[V] pero hasta entonces no olvides lo que te dije.
OMBRE_ACT_1_DIALOGUE_1_18,Peu importe ce que les autres diront[V] tu dois saisir la chance que tu as et faire table rase.,N'eus forzh petra a lavarfe ar re all[V] ret eo deoc'h kemer ar chañs ho peus ha sevel ur bladenn glan.,No matter what others say[V] you have to take the chance you have and make a clean slate.,Egal[V] was andere sagen[V][V] Sie müssen die Chance nutzen und eine saubere Weste schaffen.,Não importa o que os outros digam[V] você tem que aproveitar a chance que tem e começar do zero.,Non importa cosa dicono gli altri[V][V] devi cogliere l'occasione che hai e fare tabula rasa.,No importa lo que digan los demás[V][V] debes aprovechar la oportunidad que tienes y hacer borrón y cuenta nueva.
OMBRE_ACT_1_DIALOGUE_1_19,J'espère que tout se passera bien pour toi jusqu'à notre prochaine rencontre.,Spi am eus ez aio mat pep tra ganeoc'h betek hon emgav da zont.,I hope everything goes well for you until our next meeting.,Ich hoffe[V] dass bis zu unserem nächsten Treffen alles gut für Dich verläuft.,Espero que tudo corra bem para você até nosso próximo encontro.,Spero che tutto vada bene per te fino al nostro prossimo incontro.,Espero que todo te vaya bien hasta nuestro próximo encuentro.
GARDIENNE_NAME,[#dedede]La Gardienne[/#],[#dedede]Ar Gwarezer[/#],[#dedede]The Guardian[/#],[#dedede]Der Wächter[/#],[#dedede]O Guardião[/#],[#dedede]Il guardiano[/#],[#dedede]El Guardián[/#]
GARDIENNE_ACT_1_DIALOGUE_1_1,Bonjour[V] te voilà enfin.,Salud deoc'h[V] setu c'hwi a-benn ar fin.,Hello[V] here you are finally.,Hallo[V][V] hier bist du endlich.,Olá[V][V] aqui está você finalmente.,Ciao[V] eccoti finalmente.,Hola[V] aquí estás finalmente.
GARDIENNE_ACT_1_DIALOGUE_1_2,Je me présente[V] je suis la gardienne du temple des mémoires.,Lakaat a ran ac'hanon da ginnig va-unan[V] gwarezer templ an eñvorennoù on.,I introduce myself[V] I am the guardian of the temple of memories.,Ich stelle mich vor[V] Ich bin der Hüter des Tempels der Erinnerungen.,Eu me apresento[V] Sou o guardião do templo das memórias.,Mi presento[V] Sono il custode del tempio dei ricordi.,Me presento[V] Soy el guardián del templo de los recuerdos.
GARDIENNE_ACT_1_DIALOGUE_1_3,Hmm… Tu ne sembles pas surpris de pouvoir me comprendre. Tant mieux[V] les choses iront plus vite,Hmm... Ne seblant ket bezañ souezhet e c'hellit kompren ac'hanon. Gwelloc'h c'hoazh[V] buanoc'h e vo an traoù.,Hmm... You don't seem surprised to be able to understand me. So much the better[V] things will go faster,Hmm... Du scheinst nicht überrascht zu sein[V] mich verstehen zu können. Umso besser[V] es wird schneller gehen,Hmm... Você não parece surpreso em ser capaz de me entender. Tanto melhor[V] as coisas irão mais rápido,Hmm... Non sembri sorpreso di potermi capire. Tanto meglio[V] e le cose andranno più velocemente,Hmm... No pareces sorprendido de poder entenderme. Mucho mejor[V] las cosas irán más rápido
GARDIENNE_ACT_1_DIALOGUE_1_4,Je suis ici pour te parler de ta mémoire. Pour être plus précise[V] je veux te parler des possibilités qui s’offriront à toi et leurs conséquences.,Amañ emaon evit komz deoc'h eus ho eñvor. Evit bezañ resisoc'h[V] e fell din komz deoc'h diwar-benn ar c'hementadoù a c'hallo bezañ deoc'h hag o heuliadoù.,I'm here to talk to you about your memory. To be more precise[V] I want to talk to you about the possibilities that will be available to you and their consequences.,Ich bin hier[V] um mit Ihnen über Ihr Gedächtnis zu sprechen. Genauer gesagt[V] möchte ich mit Ihnen über die Möglichkeiten sprechen[V] die Ihnen zur Verfügung stehen[V] und deren Konsequenzen.,Estou aqui para falar com você sobre sua memória. Para ser mais preciso[V][V] quero falar com você sobre as possibilidades que estarão disponíveis para você e suas consequências.,Sono qui per parlarti della tua memoria. Per essere più precisi[V] Voglio parlarti delle possibilità che ti si presenteranno e delle loro conseguenze.,Estoy aquí para hablarte sobre tu memoria. Para ser más preciso[V] quiero hablarte de las posibilidades que estarán disponibles para ti y sus consecuencias.
GARDIENNE_ACT_1_DIALOGUE_1_5,Sur ta route[V] tu trouveras des cristaux comme celui-ci. Ils ont le pouvoir de te rendre tes souvenirs[V] avec celà l’usage de la langue parlée.,War ho hent e kavot kristalioù evel an hini-mañ. Ar galloud o deus da adtapout ho eñvorennoù[V] asambles gant implij ar yezh komzet.,On your way[V] you will find crystals like this one. They have the power to give you back your memories[V] with the use of spoken language.,Auf deinem Weg[V] wirst du Kristalle wie diesen finden. Sie haben die Macht[V] Ihnen durch den Einsatz gesprochener Sprache Ihre Erinnerungen zurückzugeben.,No seu caminho[V] você encontrará cristais como este. Eles têm o poder de devolver suas memórias[V] com o uso da linguagem falada.,Sulla tua strada[V] troverai cristalli come questo. Hanno il potere di restituirti i tuoi ricordi[V] con l'uso della lingua parlata.,En tu camino[V] encontrarás cristales como este. Tienen el poder de devolverte tus recuerdos[V] con el uso del lenguaje hablado.
GARDIENNE_ACT_1_DIALOGUE_1_6,Cependant cela vient avec un prix; Tous tes souvenirs ne sont pas forcément des plus bons.,Koulskoude e teu ur priz gant se ; N'eo ket an holl eñvorennoù a zo ar re wellañ dre ret.,However this comes with a price; Not all your memories are necessarily the best.,Allerdings ist dies mit einem Preis verbunden. Nicht alle Ihre Erinnerungen sind unbedingt die besten.,No entanto[V] isso tem um preço; Nem todas as suas memórias são necessariamente as melhores.,Tuttavia questo ha un prezzo; Non tutti i tuoi ricordi sono necessariamente i migliori.,Sin embargo[V] esto tiene un precio; No todos tus recuerdos son necesariamente los mejores.
GARDIENNE_ACT_1_DIALOGUE_1_7,Si tout de fois tu ne te sens pas concerné par le passé[V] tu as aussi la possibilité de complètement ignorer ces cristaux et passer ton chemin ou bien les repousser.,Ma ne vezit ket nec'het gant an amzer dremenet[V] e c'hallit ivez leuskel a-gostez ar c'hristalennoù-se penn-da-benn ha mont war-raok pe kas anezho kuit.,If you still don't feel concerned about the past[V] you also have the option of completely ignoring these crystals and moving on or pushing them away.,Wenn Sie sich immer noch nicht um die Vergangenheit kümmern[V][V] haben Sie auch die Möglichkeit[V] diese Kristalle völlig zu ignorieren und weiterzumachen oder sie zu verdrängen.,Se você ainda não se preocupa com o passado[V][V] você também tem a opção de ignorar completamente esses cristais e seguir em frente ou afastá-los.,Se ancora non ti senti preoccupato per il passato[V] hai anche la possibilità di ignorare completamente questi cristalli e andare avanti o allontanarli.,Si todavía no te preocupas por el pasado[V][V] también tienes la opción de ignorar por completo estos cristales y seguir adelante o alejarlos.
GARDIENNE_ACT_1_DIALOGUE_1_8,Bien évidemment tu ne retrouvera pas l’usage de la langue[V] mais tu pourras repartir de zéro. Le choix t’appartient complètement.,Anat eo ne vo ket adkavet implij ar yezh ganeoc'h[V] met dont a reot a-benn da grogiñ adalek ar penn-kentañ. Deoc'h penn-da-benn eo an dibab.,Obviously you will not regain the use of the language[V] but you will be able to start from scratch. The choice is completely yours.,Natürlich werden Sie die Verwendung der Sprache[V] nicht wiedererlangen[V] aber Sie werden in der Lage sein[V] bei Null anzufangen. Die Wahl liegt ganz bei Ihnen.,Obviamente você não recuperará o uso da linguagem[V][V] mas poderá começar do zero. A escolha é totalmente sua.,Ovviamente non riacquisterai l'uso della lingua[V] ma potrai ripartire da zero. La scelta è completamente tua.,Evidentemente no recuperarás el uso del idioma[V] pero podrás empezar de cero. La elección es completamente tuya.
